gene	dominant_allele	protein_id	locus_tag	gene_id	product	go_ids	go_process	go_function	go_component
Strep_C27482	Strep_C27482A0	WP_005482678.1	OHU10_RS26605	OHU10_RS26605	phosphoribosylformylglycinamidine synthase subunit PurS				
Strep_C27539	Strep_C27539A0	WP_003975777.1	CVT30_RS27080	CVT30_RS27080	WhiB family transcriptional regulator	GO:0003677;GO:0046872;GO:0051536;GO:0051539		DNA binding|0003677||IEA|metal ion binding|0046872||IEA|iron-sulfur cluster binding|0051536||IEA|4 iron, 4 sulfur cluster binding|0051539||IEA	
Strep_C27584	Strep_C27584A0	WP_037693856.1	OHU10_RS20995	OHU10_RS20995	GlsB/YeaQ/YmgE family stress response membrane protein	GO:0016020			membrane|0016020||IEA
Strep_C27585	Strep_C27585A3	WP_003976241.1	SC_RS14865	SC_RS14865	30S ribosomal protein S20	GO:0003723;GO:0003735;GO:0005840;GO:0006412	translation|0006412||IEA	RNA binding|0003723||IEA|structural constituent of ribosome|0003735||IEA	ribosome|0005840||IEA
Strep_C27593	Strep_C27593A2	WP_003976273.1	SC_RS14700	SC_RS14700	protealysin inhibitor emfourin				
Strep_C2766	Strep_C2766A0	WP_328838101.1	OHU10_RS25235	OHU10_RS25235	aspartate--tRNA ligase	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0016874	tRNA aminoacylation for protein translation|0006418||IEA	nucleotide binding|0000166||IEA|aminoacyl-tRNA ligase activity|0004812||IEA|ATP binding|0005524||IEA|ligase activity|0016874||IEA	
Strep_C27697	Strep_C27697A2	WP_016326801.1	SC_RS23020	SC_RS23020	DUF3099 domain-containing protein				
Strep_C27716	Strep_C27716A3	WP_003974884.1	SC_RS22575	SC_RS22575	DUF3073 domain-containing protein				
Strep_C27718	Strep_C27718A3	WP_003973725.1	SC_RS28405	SC_RS28405	UBP-type zinc finger domain-containing protein	GO:0008270		zinc ion binding|0008270||IEA	
Strep_C27771	Strep_C27771A0	WP_003992873.1	CVT30_RS12945	CVT30_RS12945	WhiB family transcriptional regulator	GO:0003677;GO:0046872;GO:0051536;GO:0051539		DNA binding|0003677||IEA|metal ion binding|0046872||IEA|iron-sulfur cluster binding|0051536||IEA|4 iron, 4 sulfur cluster binding|0051539||IEA	
Strep_C27773	Strep_C27773A2	WP_003976012.1	SC_RS16025	SC_RS16025	hypothetical protein				
Strep_C27838	Strep_C27838A3	WP_003976205.1	SC_RS15035	SC_RS15035	50S ribosomal protein L27	GO:0000315;GO:0003735;GO:0006412;GO:0022625	translation|0006412||IEA	structural constituent of ribosome|0003735||IEA	organellar large ribosomal subunit|0000315||IEA|cytosolic large ribosomal subunit|0022625||IEA
Strep_C27839	Strep_C27839A3	WP_003974810.1	SC_RS22995	SC_RS22995	MoaD/ThiS family protein				
Strep_C27840	Strep_C27840A3	WP_003975080.1	SC_RS21405	SC_RS21405	cell division protein CrgA				
Strep_C27889	Strep_C27889A0	WP_033529228.1	CVT30_RS35925	CVT30_RS35925	chaplin ChpE				
Strep_C2795	Strep_C2795A5	WP_003976881.1	SC_RS11720	SC_RS11720	glucose-6-phosphate dehydrogenase	GO:0004345;GO:0006006;GO:0006098;GO:0016614;GO:0050661	glucose metabolic process|0006006||IEA|pentose-phosphate shunt|0006098||IEA	glucose-6-phosphate dehydrogenase activity|0004345||IEA|oxidoreductase activity, acting on CH-OH group of donors|0016614||IEA|NADP binding|0050661||IEA	
Strep_C27959	Strep_C27959A3	WP_003976417.1	SC_RS13980	SC_RS13980	acyl carrier protein				
Strep_C28020	Strep_C28020A2	WP_003971899.1	SC_RS38445	SC_RS38445	DUF397 domain-containing protein				
Strep_C28023	Strep_C28023A2	WP_037666679.1	SC_RS14875	SC_RS14875	hypothetical protein				
Strep_C28086	Strep_C28086A0	WP_037695811.1	OHU10_RS16485	OHU10_RS16485	hypothetical protein				
Strep_C28088	Strep_C28088A2	WP_003973789.1	SC_RS28100	SC_RS28100	mycoredoxin				
Strep_C2813	Strep_C2813A3	WP_003975532.1	SC_RS18625	SC_RS18625	lysine--tRNA ligase	GO:0004824;GO:0006430;GO:0017101	lysyl-tRNA aminoacylation|0006430||IEA	lysine-tRNA ligase activity|0004824||IEA	aminoacyl-tRNA synthetase multienzyme complex|0017101||IEA
Strep_C28159	Strep_C28159A3	WP_003976677.1	SC_RS12735	SC_RS12735	hypothetical protein				
Strep_C28160	Strep_C28160A3	WP_003973401.1	QBW32_RS35215	QBW32_RS35215	RNA-binding protein	GO:0003723		RNA binding|0003723||IEA	
Strep_C28161	Strep_C28161A2	WP_007449696.1	SC_RS15610	SC_RS15610	chaplin ChpG				
Strep_C2817	Strep_C2817A0	WP_328836692.1	OHU10_RS14835	OHU10_RS14835	sensor histidine kinase				
Strep_C28189	Strep_C28189A3	WP_011028969.1	SC_RS19245	SC_RS19245	30S ribosomal protein S18	GO:0000314;GO:0003735;GO:0006412;GO:0022627	translation|0006412||IEA	structural constituent of ribosome|0003735||IEA	organellar small ribosomal subunit|0000314||IEA|cytosolic small ribosomal subunit|0022627||IEA
Strep_C28226	Strep_C28226A0	WP_003949403.1	CVT30_RS22335	CVT30_RS22335	30S ribosomal protein S18	GO:0000314;GO:0003735;GO:0006412;GO:0022627	translation|0006412||IEA	structural constituent of ribosome|0003735||IEA	organellar small ribosomal subunit|0000314||IEA|cytosolic small ribosomal subunit|0022627||IEA
Strep_C28227	Strep_C28227A0	WP_037702498.1	OHU10_RS22335	OHU10_RS22335	50S ribosomal protein L28	GO:0003735;GO:0005840;GO:0006412	translation|0006412||IEA	structural constituent of ribosome|0003735||IEA	ribosome|0005840||IEA
Strep_C28229	Strep_C28229A2	WP_003977626.1	SC_RS07980	SC_RS07980	DUF6213 family protein				
Strep_C28230	Strep_C28230A2	WP_003973188.1	SC_RS31410	SC_RS31410	hypothetical protein				
Strep_C28243	Strep_C28243A4	WP_029181151.1	CVT30_RS34935	CVT30_RS34935	preprotein translocase subunit SecG	GO:0015136;GO:0015739;GO:0016020	sialic acid transport|0015739||IEA	sialic acid transmembrane transporter activity|0015136||IEA	membrane|0016020||IEA
Strep_C2827	Strep_C2827A0	WP_328836849.1	OHU10_RS16105	OHU10_RS16105	DAK2 domain-containing protein				
Strep_C28306	Strep_C28306A0	WP_005479297.1	CVT30_RS29870	CVT30_RS29870	hypothetical protein				
Strep_C28307	Strep_C28307A3	WP_003973433.1	SC_RS30020	SC_RS30020	Lrp/AsnC family transcriptional regulator	GO:0043565		sequence-specific DNA binding|0043565||IEA	
Strep_C28308	Strep_C28308A3	WP_003977150.1	SC_RS10385	SC_RS10385	chaplin ChpH				
Strep_C28310	Strep_C28310A2	WP_003975905.1	SC_RS16625	SC_RS16625	glucose PTS transporter subunit EIIB	GO:0008982;GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system|0009401||IEA	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|0008982||IEA	
Strep_C2833	Strep_C2833A4	WP_045557349.1	CVT30_RS36885	CVT30_RS36885	proteasome ATPase	GO:0000502;GO:0010498;GO:0016887;GO:0019941	proteasomal protein catabolic process|0010498||IEA|modification-dependent protein catabolic process|0019941||IEA	ATP hydrolysis activity|0016887||IEA	proteasome complex|0000502||IEA
Strep_C28353	Strep_C28353A2	WP_003975729.1	SC_RS17525	SC_RS17525	DUF4287 domain-containing protein				
Strep_C28356	Strep_C28356A2	WP_003973440.1	SC_RS29985	SC_RS29985	SCO5555 family protein				
Strep_C28376	Strep_C28376A3	WP_016327219.1	SC_RS28010	SC_RS28010	DUF3107 domain-containing protein				
Strep_C2838	Strep_C2838A0	WP_328836521.1	OHU10_RS13620	OHU10_RS13620	malto-oligosyltrehalose trehalohydrolase	GO:0005992;GO:0033942	trehalose biosynthetic process|0005992||IEA	4-alpha-D-(1->4)-alpha-D-glucanotrehalose trehalohydrolase activity|0033942||IEA	
Strep_C28469	Strep_C28469A0	WP_003998824.1	QBW32_RS28690	QBW32_RS28690	50S ribosomal protein L29	GO:0003735;GO:0005840;GO:0006412	translation|0006412||IEA	structural constituent of ribosome|0003735||IEA	ribosome|0005840||IEA
Strep_C28473	Strep_C28473A0	WP_003948620.1	CVT30_RS16240	CVT30_RS16240	translation initiation factor IF-1	GO:0003743;GO:0006413	translational initiation|0006413||IEA	translation initiation factor activity|0003743||IEA	
Strep_C28493	Strep_C28493A3	WP_003973638.1	SC_RS28975	SC_RS28975	50S ribosomal protein L31	GO:0003735;GO:0005840;GO:0006412	translation|0006412||IEA	structural constituent of ribosome|0003735||IEA	ribosome|0005840||IEA
Strep_C2850	Strep_C2850A0	WP_046705905.1	OHU10_RS27660	OHU10_RS27660	diguanylate cyclase CdgB	GO:0052621		diguanylate cyclase activity|0052621||IEA	
Strep_C28530	Strep_C28530A0	WP_006123601.1	CVT30_RS35675	CVT30_RS35675	helix-turn-helix domain-containing protein				
Strep_C28532	Strep_C28532A3	WP_003976975.1	SC_RS11260	SC_RS11260	hypothetical protein				
Strep_C28554	Strep_C28554A3	WP_016325534.1	SC_RS06525	SC_RS06525	dodecin	GO:0000166		nucleotide binding|0000166||IEA	
Strep_C2858	Strep_C2858A3	WP_003975519.1	SC_RS18690	SC_RS18690	bifunctional uroporphyrinogen-III C-methyltransferase/uroporphyrinogen-III synthase	GO:0004852;GO:0006780;GO:0008168;GO:0033014	uroporphyrinogen III biosynthetic process|0006780||IEA|tetrapyrrole biosynthetic process|0033014||IEA	uroporphyrinogen-III synthase activity|0004852||IEA|methyltransferase activity|0008168||IEA	
Strep_C28605	Strep_C28605A0	WP_005485230.1	IHE65_RS36200	IHE65_RS36200	ubiquitin-like protein Pup	GO:0010498;GO:0019941;GO:0031386;GO:0070490;GO:0070628	proteasomal protein catabolic process|0010498||IEA|modification-dependent protein catabolic process|0019941||IEA|protein pupylation|0070490||IEA	protein tag activity|0031386||IEA|proteasome binding|0070628||IEA	
Strep_C2863	Strep_C2863A2	WP_003978119.1	SC_RS05640	SC_RS05640	ABC transporter ATP-binding protein	GO:0005524;GO:0016887;GO:0042626;GO:0055052;GO:0140359		ATP binding|0005524||IEA|ATP hydrolysis activity|0016887||IEA|ATPase-coupled transmembrane transporter activity|0042626||IEA|ABC-type transporter activity|0140359||IEA	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing|0055052||IEA
Strep_C28659	Strep_C28659A2	WP_003977071.1	SC_RS10780	SC_RS10780	I78 family peptidase inhibitor				
Strep_C28673	Strep_C28673A2	WP_003975599.1	SC_RS18205	SC_RS18205	MbtH family protein				
Strep_C28684	Strep_C28684A0	WP_328838187.1	OHU10_RS25925	OHU10_RS25925	DUF5326 family protein				
Strep_C28735	Strep_C28735A0	WP_013000557.1	OHU10_RS16915	OHU10_RS16915	EF-hand domain-containing protein	GO:0005509		calcium ion binding|0005509||IEA	
Strep_C2874	Strep_C2874A3	WP_016325905.1	SC_RS10910	SC_RS10910	DNA repair protein RecN	GO:0005524;GO:0006281;GO:0006310	DNA repair|0006281||IEA|DNA recombination|0006310||IEA	ATP binding|0005524||IEA	
Strep_C2877	Strep_C2877A2	WP_003976503.1	SC_RS13580	SC_RS13580	MFS transporter	GO:0022857;GO:0055085	transmembrane transport|0055085||IEA	transmembrane transporter activity|0022857||IEA	
Strep_C28807	Strep_C28807A0	WP_007384656.1	CVT30_RS12770	CVT30_RS12770	helix-turn-helix domain-containing protein				
Strep_C2881	Strep_C2881A3	WP_003974115.1	SC_RS26440	SC_RS26440	succinate dehydrogenase flavoprotein subunit	GO:0006099;GO:0016627;GO:0050660	tricarboxylic acid cycle|0006099||IEA	oxidoreductase activity, acting on the CH-CH group of donors|0016627||IEA|flavin adenine dinucleotide binding|0050660||IEA	
Strep_C28883	Strep_C28883A0	WP_003949541.1	CVT30_RS23105	CVT30_RS23105	developmental transcriptional regulator BldC				
Strep_C28884	Strep_C28884A0	WP_005486335.1	CVT30_RS24220	CVT30_RS24220	cold-shock protein	GO:0003676		nucleic acid binding|0003676||IEA	
Strep_C28955	Strep_C28955A0	WP_005483357.1	CVT30_RS20485	CVT30_RS20485	cold-shock protein	GO:0003676		nucleic acid binding|0003676||IEA	
Strep_C29032	Strep_C29032A2	WP_003976708.1	SC_RS12580	SC_RS12580	sulfur carrier protein ThiS	GO:0003824;GO:0009228	thiamine biosynthetic process|0009228||IEA	catalytic activity|0003824||IEA	
Strep_C2905	Strep_C2905A3	WP_011031002.1	SC_RS34930	SC_RS34930	cellulose 1,4-beta-cellobiosidase				
Strep_C29164	Strep_C29164A0	WP_005480627.1	CVT30_RS13550	CVT30_RS13550	hypothetical protein				
Strep_C29165	Strep_C29165A0	WP_005485586.1	CVT30_RS38115	CVT30_RS38115	hypothetical protein				
Strep_C29166	Strep_C29166A0	WP_033526477.1	CVT30_RS29660	CVT30_RS29660	hypothetical protein				
Strep_C29167	Strep_C29167A3	WP_003977225.1	CVT30_RS37165	CVT30_RS37165	50S ribosomal protein L35	GO:0003735;GO:0005840;GO:0006412	translation|0006412||IEA	structural constituent of ribosome|0003735||IEA	ribosome|0005840||IEA
Strep_C29168	Strep_C29168A2	WP_003977636.1	SC_RS07930	SC_RS07930	hypothetical protein				
Strep_C29170	Strep_C29170A2	WP_003977192.1	SC_RS10180	SC_RS10180	membrane protein				
Strep_C29171	Strep_C29171A3	WP_003973258.1	SC_RS31060	SC_RS31060	DUF3046 domain-containing protein				
Strep_C2919	Strep_C2919A0	WP_328837629.1	OHU10_RS22120	OHU10_RS22120	L-aspartate oxidase	GO:0008734;GO:0009435	NAD+ biosynthetic process|0009435||IEA	L-aspartate oxidase activity|0008734||IEA	
Strep_C2921	Strep_C2921A3	WP_011027776.1	SC_RS09055	SC_RS09055	membrane protein				
Strep_C29237	Strep_C29237A0	WP_013005676.1	OHU10_RS44375	OHU10_RS44375	putative ATP-grasp-modified RiPP				
Strep_C29309	Strep_C29309A0	WP_005485166.1	CVT30_RS36695	CVT30_RS36695	DUF5703 family protein				
Strep_C2938	Strep_C2938A8	WP_003976660.1	SLI_RS11720	SLI_RS11720	cytochrome c oxidase subunit I	GO:0004129;GO:0015990	electron transport coupled proton transport|0015990||IEA	cytochrome-c oxidase activity|0004129||IEA	
Strep_C29386	Strep_C29386A0	WP_003948630.1	CVT30_RS16290	CVT30_RS16290	type Z 30S ribosomal protein S14	GO:0003735;GO:0005840;GO:0006412	translation|0006412||IEA	structural constituent of ribosome|0003735||IEA	ribosome|0005840||IEA
Strep_C29387	Strep_C29387A0	WP_003973430.1	QBW32_RS35055	QBW32_RS35055	50S ribosomal protein L28	GO:0003735;GO:0005840;GO:0006412	translation|0006412||IEA	structural constituent of ribosome|0003735||IEA	ribosome|0005840||IEA
Strep_C2947	Strep_C2947A0	WP_328839917.1	OHU10_RS37860	OHU10_RS37860	L-arabinonate dehydratase				
Strep_C2951	Strep_C2951A0	WP_328835445.1	OHU10_RS06025	OHU10_RS06025	ThuA domain-containing protein				
Strep_C29515	Strep_C29515A2	WP_003977493.1	SC_RS08635	SC_RS08635	hypothetical protein				
Strep_C2954	Strep_C2954A0	WP_328838242.1	OHU10_RS26295	OHU10_RS26295	sensor histidine kinase	GO:0000155;GO:0000156;GO:0004673;GO:0005524;GO:0007165	signal transduction|0007165||IEA	phosphorelay sensor kinase activity|0000155||IEA|phosphorelay response regulator activity|0000156||IEA|protein histidine kinase activity|0004673||IEA|ATP binding|0005524||IEA	
Strep_C29657	Strep_C29657A0	WP_007493396.1	CVT30_RS11225	CVT30_RS11225	50S ribosomal protein L32	GO:0003735;GO:0006412;GO:0015934	translation|0006412||IEA	structural constituent of ribosome|0003735||IEA	large ribosomal subunit|0015934||IEA
Strep_C29711	Strep_C29711A3	WP_005485663.1	CVT30_RS27115	CVT30_RS27115	Trm112 family protein				
Strep_C29723	Strep_C29723A5	WP_003972469.1	SC_RS34740	SC_RS34740	hypothetical protein				
Strep_C2976	Strep_C2976A3	WP_003976341.1	SC_RS14365	SC_RS14365	ABC transporter ATP-binding protein	GO:0005524;GO:0016887;GO:0042626;GO:0055052;GO:0140359		ATP binding|0005524||IEA|ATP hydrolysis activity|0016887||IEA|ATPase-coupled transmembrane transporter activity|0042626||IEA|ABC-type transporter activity|0140359||IEA	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing|0055052||IEA
Strep_C29773	Strep_C29773A0	WP_003966491.1	CVT30_RS13450	CVT30_RS13450	DUF3117 domain-containing protein				
Strep_C29781	Strep_C29781A3	WP_003976223.1	SC_RS14955	SC_RS14955	hypothetical protein				
Strep_C29832	Strep_C29832A1	WP_003948671.1	CVT30_RS16545	CVT30_RS16545	50S ribosomal protein L33	GO:0003735;GO:0005840;GO:0006412	translation|0006412||IEA	structural constituent of ribosome|0003735||IEA	ribosome|0005840||IEA
Strep_C29833	Strep_C29833A3	WP_005478154.1	CVT30_RS34230	CVT30_RS34230	hypothetical protein				
Strep_C29836	Strep_C29836A5	WP_003975405.1	SC_RS19260	SC_RS19260	50S ribosomal protein L33	GO:0003735;GO:0005840;GO:0006412	translation|0006412||IEA	structural constituent of ribosome|0003735||IEA	ribosome|0005840||IEA
Strep_C29891	Strep_C29891A0	WP_005476015.1	OHU10_RS22860	OHU10_RS22860	DUF4177 domain-containing protein				
Strep_C29994	Strep_C29994A0	WP_020113966.1	OHU10_RS18400	OHU10_RS18400	hypothetical protein				
Strep_C3005	Strep_C3005A0	WP_046708171.1	OHU10_RS12630	OHU10_RS12630	AMP-binding protein				
Strep_C3006	Strep_C3006A0	WP_328838163.1	OHU10_RS25770	OHU10_RS25770	protein kinase family protein				
Strep_C30061	Strep_C30061A2	WP_106435246.1	SC_RS09130	SC_RS09130	SCO1431 family membrane protein				
Strep_C3007	Strep_C3007A3	WP_003975423.1	SC_RS19175	SC_RS19175	threonine/serine exporter family protein	GO:0016020;GO:0022857;GO:0055085	transmembrane transport|0055085||IEA	transmembrane transporter activity|0022857||IEA	membrane|0016020||IEA
Strep_C30150	Strep_C30150A3	WP_003975051.1	QBW32_RS23960	QBW32_RS23960	50S ribosomal protein L34	GO:0000315;GO:0003735;GO:0006412;GO:0022625	translation|0006412||IEA	structural constituent of ribosome|0003735||IEA	organellar large ribosomal subunit|0000315||IEA|cytosolic large ribosomal subunit|0022625||IEA
Strep_C302	Strep_C302A0	WP_328838284.1	OHU10_RS26675	OHU10_RS26675	ATP-dependent RNA helicase HrpA	GO:0003676;GO:0003724;GO:0005524		nucleic acid binding|0003676||IEA|RNA helicase activity|0003724||IEA|ATP binding|0005524||IEA	
Strep_C30211	Strep_C30211A0	WP_005479955.1	CVT30_RS46660	CVT30_RS46660	hypothetical protein				
Strep_C3023	Strep_C3023A3	WP_003977597.1	SC_RS08125	SC_RS08125	urease subunit alpha	GO:0008152;GO:0009039;GO:0016151	metabolic process|0008152||IEA	urease activity|0009039||IEA|nickel cation binding|0016151||IEA	
Strep_C30248	Strep_C30248A0	WP_003999697.1	CVT30_RS22145	CVT30_RS22145	DLW-39 family protein				
Strep_C3025	Strep_C3025A0	WP_328840029.1	OHU10_RS38785	OHU10_RS38785	MFS transporter	GO:0022857;GO:0055085	transmembrane transport|0055085||IEA	transmembrane transporter activity|0022857||IEA	
Strep_C30359	Strep_C30359A2	WP_011027990.1	SC_RS11080	SC_RS11080	SGM_5486 family transporter-associated protein				
Strep_C30367	Strep_C30367A0	WP_003998809.1	CVT30_RS16235	CVT30_RS16235	50S ribosomal protein L36	GO:0003735;GO:0005840;GO:0006412	translation|0006412||IEA	structural constituent of ribosome|0003735||IEA	ribosome|0005840||IEA
Strep_C30381	Strep_C30381A0	WP_003948845.1	CVT30_RS17570	CVT30_RS17570	30S ribosomal protein bS22				
Strep_C30391	Strep_C30391A0	WP_037655415.1	OHU10_RS09530	OHU10_RS09530	K(+)-transporting ATPase subunit F	GO:0006813;GO:0031004;GO:0043462	potassium ion transport|0006813||IEA|regulation of ATP-dependent activity|0043462||IEA		potassium ion-transporting ATPase complex|0031004||IEA
Strep_C3049	Strep_C3049A0	WP_328838787.1	OHU10_RS30045	OHU10_RS30045	urocanate hydratase	GO:0006548;GO:0016153	L-histidine catabolic process|0006548||IEA	urocanate hydratase activity|0016153||IEA	
Strep_C3054	Strep_C3054A3	WP_003973378.1	SC_RS30450	SC_RS30450	ABC transporter permease	GO:0016020;GO:0042626;GO:0055085;GO:0140359	transmembrane transport|0055085||IEA	ATPase-coupled transmembrane transporter activity|0042626||IEA|ABC-type transporter activity|0140359||IEA	membrane|0016020||IEA
Strep_C3066	Strep_C3066A0	WP_328837665.1	OHU10_RS22390	OHU10_RS22390	bifunctional 3'-5' exonuclease/DNA polymerase	GO:0003887;GO:0006261	DNA-templated DNA replication|0006261||IEA	DNA-directed DNA polymerase activity|0003887||IEA	
Strep_C3070	Strep_C3070A0	WP_328838128.1	OHU10_RS25425	OHU10_RS25425	phenylacetic acid degradation protein PaaN	GO:0010124	phenylacetate catabolic process|0010124||IEA		
Strep_C3071	Strep_C3071A0	WP_328840242.1	OHU10_RS40515	OHU10_RS40515	flavin monoamine oxidase family protein	GO:0000166;GO:0016491		nucleotide binding|0000166||IEA|oxidoreductase activity|0016491||IEA	
Strep_C3101	Strep_C3101A0	WP_328840355.1	OHU10_RS41320	OHU10_RS41320	DUF885 domain-containing protein				
Strep_C3106	Strep_C3106A0	WP_210551146.1	OHU10_RS23780	OHU10_RS23780	potassium-transporting ATPase subunit KdpA	GO:0006813;GO:0008556;GO:0031004	potassium ion transport|0006813||IEA	P-type potassium transmembrane transporter activity|0008556||IEA	potassium ion-transporting ATPase complex|0031004||IEA
Strep_C3111	Strep_C3111A0	WP_328840445.1	OHU10_RS41965	OHU10_RS41965	cellulase family glycosylhydrolase	GO:0000272;GO:0004553	polysaccharide catabolic process|0000272||IEA	hydrolase activity, hydrolyzing O-glycosyl compounds|0004553||IEA	
Strep_C3116	Strep_C3116A2	WP_003972394.1	SC_RS35115	SC_RS35115	thiamine pyrophosphate-binding protein	GO:0000287;GO:0005948;GO:0009097;GO:0009099;GO:0030976;GO:0050660	isoleucine biosynthetic process|0009097||IEA|L-valine biosynthetic process|0009099||IEA	magnesium ion binding|0000287||IEA|thiamine pyrophosphate binding|0030976||IEA|flavin adenine dinucleotide binding|0050660||IEA	acetolactate synthase complex|0005948||IEA
Strep_C3123	Strep_C3123A0	WP_328839392.1	OHU10_RS34070	OHU10_RS34070	MFS transporter	GO:0016020;GO:0022857;GO:0055085	transmembrane transport|0055085||IEA	transmembrane transporter activity|0022857||IEA	membrane|0016020||IEA
Strep_C3124	Strep_C3124A3	WP_003972818.1	SC_RS32750	SC_RS32750	sulfite reductase SirA				
Strep_C3144	Strep_C3144A0	WP_328836800.1	OHU10_RS15680	OHU10_RS15680	type 2 periplasmic-binding domain-containing protein				
Strep_C3160	Strep_C3160A0	WP_328836733.1	OHU10_RS15130	OHU10_RS15130	FAD-dependent monooxygenase	GO:0071949		FAD binding|0071949||IEA	
Strep_C3163	Strep_C3163A5	WP_011029195.1	SC_RS20790	SC_RS20790	DEAD/DEAH box helicase	GO:0003676;GO:0005524;GO:0016887		nucleic acid binding|0003676||IEA|ATP binding|0005524||IEA|ATP hydrolysis activity|0016887||IEA	
Strep_C3178	Strep_C3178A5	WP_003973282.1	SC_RS30935	SC_RS30935	ribonuclease J	GO:0003723;GO:0004521;GO:0004534;GO:0006364;GO:0006396;GO:0008270;GO:0046872	rRNA processing|0006364||IEA|RNA processing|0006396||IEA	RNA binding|0003723||IEA|RNA endonuclease activity|0004521||IEA|5'-3' RNA exonuclease activity|0004534||IEA|zinc ion binding|0008270||IEA|metal ion binding|0046872||IEA	
Strep_C3196	Strep_C3196A0	WP_328839732.1	OHU10_RS36540	OHU10_RS36540	alkaline phosphatase D family protein	GO:0016787;GO:0046872		hydrolase activity|0016787||IEA|metal ion binding|0046872||IEA	
Strep_C3205	Strep_C3205A3	WP_003975632.1	SC_RS18040	SC_RS18040	potassium/proton antiporter	GO:0006813;GO:0008324;GO:0016020	potassium ion transport|0006813||IEA	monoatomic cation transmembrane transporter activity|0008324||IEA	membrane|0016020||IEA
Strep_C3223	Strep_C3223A2	WP_003971843.1	SC_RS38705	SC_RS38705	NAD(P)/FAD-dependent oxidoreductase	GO:0000156;GO:0016491;GO:0050660		phosphorelay response regulator activity|0000156||IEA|oxidoreductase activity|0016491||IEA|flavin adenine dinucleotide binding|0050660||IEA	
Strep_C3225	Strep_C3225A0	WP_328836966.1	OHU10_RS16995	OHU10_RS16995	M4 family metallopeptidase	GO:0004222;GO:0006508;GO:0008270	proteolysis|0006508||IEA	metalloendopeptidase activity|0004222||IEA|zinc ion binding|0008270||IEA	
Strep_C3228	Strep_C3228A0	WP_319267938.1	OHU10_RS26245	OHU10_RS26245	long-chain fatty acid--CoA ligase				
Strep_C3232	Strep_C3232A0	WP_328837779.1	OHU10_RS23210	OHU10_RS23210	ABC transporter permease	GO:0016020;GO:0042626;GO:0043190;GO:0140359		ATPase-coupled transmembrane transporter activity|0042626||IEA|ABC-type transporter activity|0140359||IEA	membrane|0016020||IEA|ATP-binding cassette (ABC) transporter complex|0043190||IEA
Strep_C3244	Strep_C3244A0	WP_328840202.1	OHU10_RS40150	OHU10_RS40150	hypothetical protein				
Strep_C3249	Strep_C3249A3	WP_016327174.1	SC_RS27385	SC_RS27385	fumarate hydratase	GO:0004333;GO:0006099;GO:0051539	tricarboxylic acid cycle|0006099||IEA	fumarate hydratase activity|0004333||IEA|4 iron, 4 sulfur cluster binding|0051539||IEA	
Strep_C3255	Strep_C3255A3	WP_003977434.1	SC_RS08935	SC_RS08935	phosphoenolpyruvate--protein phosphotransferase	GO:0008965;GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system|0009401||IEA	phosphoenolpyruvate-protein phosphotransferase activity|0008965||IEA	
Strep_C3257	Strep_C3257A0	WP_328842386.1	OHU10_RS38605	OHU10_RS38605	CTP synthase	GO:0003883;GO:0006221;GO:0006241	pyrimidine nucleotide biosynthetic process|0006221||IEA|CTP biosynthetic process|0006241||IEA	CTP synthase activity|0003883||IEA	
Strep_C3261	Strep_C3261A0	WP_328838118.1	OHU10_RS25350	OHU10_RS25350	protein kinase domain-containing protein	GO:0004672;GO:0005524;GO:0006468	protein phosphorylation|0006468||IEA	protein kinase activity|0004672||IEA|ATP binding|0005524||IEA	
Strep_C3278	Strep_C3278A3	WP_003976122.1	SC_RS15465	SC_RS15465	energy-dependent translational throttle protein EttA	GO:0005524;GO:0045900	negative regulation of translational elongation|0045900||IEA	ATP binding|0005524||IEA	
Strep_C3281	Strep_C3281A0	WP_328837288.1	OHU10_RS19525	OHU10_RS19525	phospho-sugar mutase	GO:0016868		intramolecular phosphotransferase activity|0016868||IEA	
Strep_C3285	Strep_C3285A3	WP_003974879.1	SC_RS22625	SC_RS22625	metallophosphoesterase family protein	GO:0016787;GO:0042578;GO:0046872		hydrolase activity|0016787||IEA|phosphoric ester hydrolase activity|0042578||IEA|metal ion binding|0046872||IEA	
Strep_C3286	Strep_C3286A0	WP_328837790.1	OHU10_RS23300	OHU10_RS23300	polyamine aminopropyltransferase	GO:0003824		catalytic activity|0003824||IEA	
Strep_C3313	Strep_C3313A3	WP_003974371.1	SC_RS25030	SC_RS25030	NADH-quinone oxidoreductase subunit NuoN	GO:0008137;GO:0042773	ATP synthesis coupled electron transport|0042773||IEA	NADH dehydrogenase (ubiquinone) activity|0008137||IEA	
Strep_C3334	Strep_C3334A0	WP_037694281.1	OHU10_RS20215	OHU10_RS20215	succinic semialdehyde dehydrogenase				
Strep_C3341	Strep_C3341A0	WP_328842160.1	OHU10_RS19785	OHU10_RS19785	beta-N-acetylhexosaminidase	GO:0004563;GO:0005975	carbohydrate metabolic process|0005975||IEA	beta-N-acetylhexosaminidase activity|0004563||IEA	
